Title,Location,Summary
"[대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",서울,공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
Recruitment for RTL Verification Engineer,서울,"ACE) protocol 경험 Verilog HDL, SystemVerilog 사용 경험 Perl, Python 등의 script 사용 경험 UVM 검증 관련 경력자 우대 UVM 검증 경험이 없어도 하만 내부 교육..."
[카카오메이커스] 퍼포먼스 마케터 모집,성남 삼평동,"커머스 업계에서 2년 이상 실무를 하며 인사이트를 갖추신 분 - 분석언어 활용 역량을 보유하신 분 (SQL, Python 등) - 서비스 내 자발적인 프로젝트를 통해 유의미한 Growth를 만들어 낸 경험이 있으신 분 전형..."
DNN 모델 개발 엔지니어,성남 분당구,통신·모바일·게임>빅데이터·AI(인공지능)>비전인식|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
[양재역] Node서버 개발자 (사원~과장급),서울 서초구,발자간 의사소통이 원활한 분 - python selenium으로 웹 크롤링... 소통하고 책임감 있는 분[우대사항]- 개발자간 의사소통이 원활한 분- python selenium으로 웹 크롤링을 해본 분- socket 통신 경험자...
"Software Engineer, Embedded Systems, Android OS",서울,"Android OS Experience coding in Java, Go, Rust... Python Knowledge of Unix/Linux environments and kernel development..."
[KREAM] Server 개발자,성남 분당구,합니다. 인터넷·IT·통신·모바일·게임>응용프로그래머>API|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>게임(Game)>서버·네트워크개발|인터넷·IT·통신·모바일·게임>ERP·시스...
Machine Learning R&D 연구원,서울 서초구,"가능) ㆍ최신 딥러닝, 기계학습 이론에 대한 이해 및 구현 역량 ㆍ Python, TnsorFlow, C/C++, TensorRT 등 프로그래밍 실무... 대한 이해 및 구현 역량 ㆍ Python, TnsorFlow, C/C++..."
Python Developer (Internal Product),서울 강남구,합류하게 될 팀에 대해 알려드려요토스의 Python Developer는 팀 또는... 편리하게 사용할 수 있도 인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>웹개발|인터넷·IT·통신...
[마비노기모바일] 연구 개발 프로그래머,서울 강남구,"험을 풍성하게 할 기술 개발 작업에 참여합니다.- 머신러닝, VR 등 신기술을 탐색, 실험합니다.- C#, Python, Javascript 등 다양한 언어와 환경을 사용합니다. 인터넷·IT·통신·모바일·게임>게임(Game..."
"Solutions Architcet 전문가 (과장-이사급 00명) , 글로벌 Top 클라우드 서비스 기업",서울 강남구,"루비 (Ruby), 파이썬 ( Python), Node.js 등 · 개발자... 응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷..."
컴파일러 엔지니어(딥엑스),성남 분당구,통신·모바일·게임>빅데이터·AI(인공지능)>비전인식|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
영상 데이터 검수자,서울 종로구,무관ㆍImage Labeling 검수 또는 Crawling 업무 경험ㆍ Python 기반 Image Control 경험 (우대)ㆍOA 활용 능력 보유자... 모바일·게임>응용프로그래머> Python|교육·교사·강사·교직원>IT·문화...
[신입/경력] 의료영상/음성인식/생체신호 연구원,서울 서초구,게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>딥러닝|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python
[AI R&D] Language AI(NLP) Research 분야 수시(22년2차) 모집,성남 판교역,"분 - 통계/Machine Learning에 대한 이해와 활용 능력 및 text 처리 기술에 대한 경험 - Python, Java 등을 이용하여 NLP 기술을 구현 가능한 분 - 최신 기술(논문, 기술문서 등)을 습득하는..."
Software Engineer - Python and K8s,서울,"we are building a new community around Python opscode for open source applications... who enjoy Python, have a passion..."
Render Wrangler - Seoul,서울,"another technical field ( Preferred ) Knowledge of Python, Peal, Java... Javascript ( Preferred ) BENEFITS Four major..."
AI 딥러닝 및 데이터분석 개발자 (신입),서울 강남구,프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신... 인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
"Charging Operations Specialist, APAC Charging (English Speak...",서울 강남구,"Data science experience including coding/scripting skills ( Python/Ruby/JS/Perl... plus. Collaborative, team oriented..."
시스템 엔지니어 모집,서울 구로구,"경험 - 컨테이너 기술을 이용한 운영 경험 - 오픈소스 기반을 활용한 시스템 구축 경험 - 개발 언어 지식 ( Python, Ansible 등) * 국가보훈대상자 및 장애인은 관련법령에 의거하여 우대합니다. * 서류전형 합격..."
"Cloud Engineer, Infrastructure, Google Cloud Professional",서울 강남구,"e.g., Java, Python, etc.)Preferred... 프로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신..."
카카오 데이터의 가치를 발굴할 데이터 분석가 모집,성남 판교역,"및 해석) －데이터 분석 업무를 수행할 수 있는 언어 스킬 필수 (1) SQL 필수 (2) R 또는 Python을 다룰 수 있는 분 (SAS, SPSS, GA, tableau 등 통계 툴만 사용 가능한 경우 제외) －하둡..."
각 분야별 인재 Pool 등록,서울,"자 - 데이터 분석 툴(Adobe Analytics 또는 Google Analytics) 유경험자 우대 - Python, R, SQL 역량 보유자 우대 - 데이터에 기반한 문제해결 능력 및 통계학적 지식 보유자 우대 - 담당..."
네트워크 보안 담당자 채용,서울 중학동,"정보보안기사 등 관련 자격증을 보유하신 분 - 포렌식 업무 경험 또는 관련 자격증을 보유하신 분 - Java, Python 등 프로그래밍 언어가 능숙하신 분 근무조건 [근무조건] - 근무형태 : 정규직 - 모집인원 : 명..."
딥러닝 AI 개발 연구원,성남 수정구,시스템프로그래머>임베디드(Embedded)|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
"Customer Solutions Engineer, Global Client and Agency Soluti...",서울,"general purpose programming language (e.g., Java, C/C++, Python). Ability to speak and write in English and Korean fluently..."
[PPM솔루션 클로바인] 연구소 IT 테크 직군 선행연구 개발자,서울 강남구,백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++...
빅데이터분석 수시 채용,서울 을지로2가,"대사항] - 빅데이터 분석 프로젝트 Leading 경력 - 보건의료 빅데이터 분석 경력 - SAS, R, Python 등 프로그래밍 가능자 - 머신러닝/딥러닝 활용 예측모형 개발 - 보건의료빅데이터(건강보험심사평가원, 국민..."
"자율주행, 인공지능(AI) 외 신입/경력 계약직, 인턴",대구 달성군,"신입도 지원 가능)ㆍ학력 : 학사이상(컴퓨터공학/기계공학/전기전자/자동차공학 계열 전공자)ㆍ필요기술 : Python, C++ㆍ해외 여행에 결격 사유가 없는자[우대사항]ㆍ자율주행 대회 참여 혹은 프로젝트 수행 경험 보유자ㆍ..."
Data Scientist 신입 채용,서울 역삼동,"우순순위에 따른 다양한 모델 개발(ex: 수요예측, 추천/랭킹시스템, 가격최적화) 자격요건 • R/ Python 기반 로그성 데이터 분석과 모델 개발 경험이 있으신 분 • 통계학, 머신러닝 관련 내용을 이해하고 활용가능..."
마케팅 데이터 사이언티스트 경력 (석사/박사 신입지원가능),서울특별시,"전공 (컴퓨터공학, 산업공학, 통계학, 계량경제학, 실험심리학, 경영정보등) - 경력 : 데이터 분석 경력( Python, R, SQL등 활용) 2년 이상 (학사 졸업 후 2년 이상) 단, 석사/박사 신입 경우에는 22년 8월..."
미들웨어 WEB/WAS 운영 경력사원 모집,서울 재동,"대한 책임감이 높으신 분 우대사항 - 웹 기반 대량 트래픽 서비스에 대한 운영 경험 - Bashshell, Python 가능자 - Jeus, WebToB, Apache/Tomcat, Nginx 등 Web Admin 경험..."
"Software Engineer, Android Connectivity",서울 강남구,"one or more... following languages: C, C++, Java, or Python.Preferred qualifications:5 years of experience in Android..."
"웹프로그래머 (경력) / PHP, Python , Java",인천 부평구,"니다. *채용인원: 1명*담당업무: ㆍ웹개발 : 프로그램 개발 및 유지보수.자격요건: ? 언어 : PHP, Python ? 최소 1개 이상의 PHP 프레임워크(Codeigniter, Laravel 등)에 대한 개발경험이 있는..."
2022년 하반기 인턴십(채용연계형),서울,DB 등 기본적인 CS지식을 보유하고 있는 분 Git을 통한 협업 경험과 Code Review 익숙하신 분 Python 사용 경험이 있으신 분 기술문제를 깊이 분석하고 기술적 방법으로 문제를 해결하는 경험을 갖춘 분 우대사...
2022년 레드우드케이 S/W 엔지니어,서울 성동구,인터넷·IT·통신·모바일·게임>응용프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능...
[2022 여름인턴] 프로젝트형 프로그래밍 직군,서울 강남구,인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
Cloud 부문,서울,"및 git 워크플로 - 데이터베이스 및 SQL에 대한 지식 - 프로그래밍 언어 에 대한 지식(Nodejs, Python 등) 우대사항 - 컴퓨터공학, 컴퓨터과학, 소프트웨어 공학 전공자 - 대규모 웹 서비스 환경 내 이슈..."
2022년 AIFFEL AI 인공지능 전문교육,서울 강남구,게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임... 로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>증강현실(AR)|인터넷...
Cloud Service Developer for HANA Cloud Development and Data...,서울,"has Experiences in one or more... following: Python, Go, and so on Experiences with Kubernetes, Docker Experiences..."
기술 문서 작성 전문가,성남 분당구,모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
Developer Associate,서울,"Experience in C/C++ Experience in SQL, Python, Git Experienced... development... 20) Fluency in SQL, python MS or Ph.D..."
2022년 파이썬활용 빅데이터 분석 전문가 국비무료 양성과정,서울 금천구,데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터마이닝... 템분석·설계>컨설팅|인터넷·IT·통신·모바일·게임>웹프로그래머> Python
[현대무벡스] 경력사원 상시,서울 종로구,ABAP|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>인공지능(AI)|인터넷·IT·통신·모바일·게임...
[뉴플랫폼기술] Kubernetes Engineer,성남 분당구,"운영 경력 5년 이상인 분· Cloud 환경에서 서비스 구축 및 운영 경험이 있 는 분· Golang, Python, Java, Javascript 등 하나 이상의 프로그래밍 언어에 익숙한 분 인터넷·IT·통신·모바일·게임..."
파이썬 개발자 초중급 이상,서울 서초구,전형 접수방법 채용시 접수방법: 인크루트 채용시스템 접수양식: 인크루트 이력서 기타 유의사항 입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다. 인터넷·IT·통신·모바일·게임>응용프로그래머> Python
[11번가] System Engineer 분야,서울 중구,"이런 일을 합니다.[Linux, IaC( python, java, bash 등), Private/public Cloud, Web/WAS/Cache/ELK ]시스템엔지니어링 조직은 대용량 DBMS, 대규모 가상화 클러스터 및..."
Technical Solution Specialist,서울,concepts in applications on host and devices Skilled in python... C++ programming/debugging/profiling for Linux...
"신입/경력 개발자 (프론트엔드 2명, 백엔드 2명, 퍼블리셔 2명)",경기도 하남,"경험자: 반응형 웹 퍼블리싱 가능자 우대: vue, 리액트 가능자 우대2. 백엔드: java, php, python, nodejs, c# 중 1개 이상 가능자: 컴퓨터 전공학과 출신자 우대: 정보처리기사 자격증 보유자 우대3..."
[PPM솔루션 클로바인] 연구소 IT 테크 직군 선행연구 개발자,서울 강남구,백엔드|인터넷·IT·통신·모바일·게임>웹프로그래머>프론트엔드|인터넷·IT·통신·모바일·게임>웹프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>클라우드|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++...
[외국계 스타트업 미소] Business Analyst,서울,통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>MySQL|인터넷·IT·통신·모바일·게임>데이터베이스...
딥러닝 AI 개발 연구원,성남 수정구,시스템프로그래머>임베디드(Embedded)|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python
"[대기업] 딥러닝 (AI, 영상인식) 전문가 (석박사급)",서울,공지능)>딥러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>데이터분석... 통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임...
"[TmaxMetaverse/R&D] 게임 엔진, 게임 서버, 메타버스 스튜디오, Vision AI 엔진 개발...",성남 분당구,"개발] - C++ 기반의 개발 경험자 - 멀티쓰레드, 네트워크 프로그래밍 지식 [Vision AI] - Python 기반의 개발 경험자 - Pytorch 및 Tensorflow 기반 Deep learning 모델 연구 경험..."
[kt ds] 2022년 각 부문별 경력사원 수시,서울 서초구,JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>응용프로그래머>자바스크립트|인터넷·IT·통신·모바일·게임>응용프로그래머...
[마블러스] 백엔드 개발자 주니어/시니어,대한민국,"Kotlin도 함께 다룰줄 아시는 분ㆍ Python으로 서버 개발 경험 있으시거나 언어를 두 개(Java, Python) 해도 괜찮으신 분ㆍ코드리뷰... 7년 이상ㆍJava 또는 python을 다룰줄 아시는 분ㆍ Spring..."
[CA] 웹 스크래핑 엔지니어,성남 분당구,데이터 파싱에 조예가 깊은 분· 웹 서비스 구축 역량을 지닌 분· Java 언어 실무 경험이 있는 분· Python 등의 스크립트 언어 실무 경험이 있는 분· 리눅스 운용 역량을 지닌 분 인터넷·IT·통신·모바일·게임>웹프로...
"[TmaxAI/R&D] NLP/음성 부문 AI모델 개발자(2022 공개, *전문연구요원 병역특례포함)",성남 분당구,"23년 2월 졸업 예정자 [음성, 자연어처리] -관련 분야의 연구 경험 / 기본 지식 보유자 -기본적인 Python 프로그래밍이 가능하신 분 [감성 분석 / 신사업 솔루션 개발] -머신러닝 및 딥러닝, 언어모델의 종류와..."
AI Research Engineer Intern,서울,optimization strategies. Programming skills with Python/C++. Experience working with one or more deep learning frameworks...
[TmaxOS/R&D] OS부문 개발자(2022 공개),성남 분당구,솔루션 개발 [주 사용 언어] - C/C++ - JavaScript/TypeScript - Java - Python 자격요건 (공통) 해외 여행에 결격 사유가 없는 자 - 4년제 대졸(학사) 이상 / 기졸업자 또는 23년...
대학생인턴십 2기 모집,서울 영등포구,"러시아어 회화 가능자 - 통계 프로그래밍(Minitab, SPSS, SAS 등), 프로그래밍언어(R, Python 등) 활용 경험 보유자 - 빅데이터/IT/품질/환경안전 관련 자격증 보유자 - PLC,N/W, 비전, 센터..."
자동차 전장 Security 분야 전문가,서울 강서구,식에 대한 이해 - Linux 사용 경험 보유 (1년 이상) - Shell Scripting 제작 또는 Python Programming 경험 2. 우대사항 - SDL (Security Development Lifecycle...
[연구개발 부문] 연구원 (MCU 계측제어설계/머신비전/이미지프로세싱),경기도 광명,"프로그래밍 가능자 우대S/W 설계 부문 : - OPEN CV, TENSORFLOW, YOLO, CUDA/ Python, C++, C WindowsGUL APL, MFC Lib 활용 가능자. 머신비전/ 영상처리 개발자* 전기..."
IT 인력,고양 일산동구,"프레임워크 개발 경험 - DB - Server* Back-end 개발자 - Java, Node.js, python 등 - Linux - REST API 활용 경험자 - CDN 연동 - DB - Server [근무시간 및 형태..."
[양재역] Node서버 개발자 (사원~과장급),서울 서초구,발자간 의사소통이 원활한 분 - python selenium으로 웹 크롤링... 소통하고 책임감 있는 분[우대사항]- 개발자간 의사소통이 원활한 분- python selenium으로 웹 크롤링을 해본 분- socket 통신 경험자...
시스템 엔지니어 모집,서울 구로구,"경험 - 컨테이너 기술을 이용한 운영 경험 - 오픈소스 기반을 활용한 시스템 구축 경험 - 개발 언어 지식 ( Python, Ansible 등) * 국가보훈대상자 및 장애인은 관련법령에 의거하여 우대합니다. * 서류전형 합격..."
위고블록체인 연구소 연구원,서울 서초구,"경력자-블록체인기반 디지털자산관련 앱및웹서비스개발-백엔드와 네트워킹 시스템개발 경험-백엔드: Rails,Go, Python,Rust,C/C++-프론트: Ruby,Javascript,Flutter-블록체인: Solidity[필수..."
Machine Learning R&D 연구원,서울 서초구,"가능) ㆍ최신 딥러닝, 기계학습 이론에 대한 이해 및 구현 역량 ㆍ Python, TnsorFlow, C/C++, TensorRT 등 프로그래밍 실무... 대한 이해 및 구현 역량 ㆍ Python, TnsorFlow, C/C++..."
[안양] 빅데이터 (리더),안양 동안구,"해당경력 3년~15년 - Java/ Python 개발 경험 - 빅데이터 관련... 빅데이터 연구용역, java, Python, Scalar, AWS, Azure, N Cloud- Java/ Python 개발 경험- 빅데이터 관련 프로..."
[인재 Pool / 상시 / 신입] R&D 박사,인천 연수구,C++|인터넷·IT·통신·모바일·게임>응용프로그래머>Linux|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>네트워크·서버·보안>UNIX·LINUX계열 서버운영·관리|전자·기계·기술...
데이터 엔지니어 (전문연구요원 가능),서울 강남구,"있으신 분 빅데이터에 대한 알고리즘 작성 및 코딩 능력을 보유하신 분 Python, Java, Scala 중 한 가지 이상 언어에 능숙하신 분 우대사... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임..."
[NAVER Cloud] Media 서비스 개발,성남 분당구,"Spring 환경에 대한 이해 및 다양한 개발 경험 또는 Go, Python, C/C++등을 이용한 플랫폼 개발 경험- 비동기 프로그래밍 등 고성능... 그래머>C·C++|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
딥엑스 NPU SDK (DXNN) 개발 엔지니어,성남 분당구,통신·모바일·게임>빅데이터·AI(인공지능)>비전인식|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터...
CX Consulting Engineer (Technical Leader) (3 positions),서울,"automation technologies and preferably know scripting ( Python, Perl or similar) Soft Skills: Excellent written and verbal..."
[카카오커머스] 기술직군,성남 분당구,"우대사항 - 전자금융 감독규정, PCIDSS에 대한 실무 경험이나 이해도가 높으신 분 - JAVA, Python, shell script 등 개발 역량을 갖추신 분 - 웹/앱 취약점 진단 및 모의해킹 역량을 갖추신..."
Software Architecture 설계 엔지니어,성남 분당구,경험 - Windows/Linux 상에서 C++/ Python 언어 사용 개발 경험 - C++ / Python 언어 사용 개발 경험 - 객체지향 설계에... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
[11번가] 데이터 엔지니어 분야,서울 중구,"kafka, Mongodb, Python 기반의 pub / sub 처리... 즐기는 분참고해주세요. 인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>Oracle DB..."
Software Engineer,서울 강남구,"limited to: C++, Java, C, and Python.Excellent verbal and written communication... 로그래머>JAVA|인터넷·IT·통신·모바일·게임>응용프로그래머> Python"
자산운용팀 전략/리스크팀 퀀트(겨울방학 인턴),대한민국,공자의 경우 관련 과목 12학점 이상 이수 - Microsoft 엑셀 능숙자 선택 사항 (평가 가산점) - Python 또는 VBA 등 코딩 Skill 보유 - 관련 업종에서 2개월 이상 인턴쉽 또는 근무 경력 보유 - 관련...
[NAVER Cloud] 빅데이터 분석 플랫폼 개발,성남 분당구,"눅스 환경, 개발 및 운영에 대한 전문적인 지식을 보유- Linux에서 프로젝트 진행 가능- Java, Python,Go 중 한 가지 언어를 능숙하게 사용할 수 있는 능력 인터넷·IT·통신·모바일·게임>응용프로그래머>Linux..."
"데이터베이스개발자, 웹개발 신입/경력 정규직",서울 영등포구,"개발자 ㆍCss/html 등 웹디자인 관련 유경험자 ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode, Selenium, electron... 관련 유경험자ㆍ자바스크립트, Python, C++, 닷넷 등 ㆍNode..."
System SW 엔지니어,성남 분당구,사항: 대학교(4년)졸업 이상 [기본 요구능력] - ASM/C/C++/ Python 언어 코딩 기술 - 운영체제 SW 설계 및 구현 - 알고리즘/네트워... 게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임...
ML Engineer (토스뱅크),서울 강남구,모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>응용프로그래머>머신러닝(ML)|인터넷·IT·통신·모바일·게임>응용프로그래머> Python|인터넷·IT·통신·모바일·게임>데이터베이스·DBA>SQL
NPU 런타임 SW 엔지니어,성남 분당구,통신·모바일·게임>응용프로그래머>인공지능(AI)|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)> Python|인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>머신러닝|인터넷·IT·통신·모바일·게임>빅데이터·AI...
[아도바주식회사] 데이터 분석가,서울 서초구,"핸들링 능력 보유자ㆍ 머신러닝 등 최신 알고리즘을 활용한 실제 비즈니스 문제 해결 경험 보유자ㆍ SQL, Python, R 등 통계/분석 프로그램 능숙자[우대사항] 인터넷·IT·통신·모바일·게임>빅데이터·AI(인공지능)>빅데..."
빅데이터 분야,서울,"데이터 분석 모형 개발 ① R, Python, SQL 등 데이터 분석 도구... 분석 관련 자격 보유(빅데이터분석기사, ADsP, ADP 등) - R/ Python/SQL 등을 사용하여 데이터를 핸들링하고 대규모 데이터 셋에서 분석..."
생명정보학 부문 박사졸 선임연구원 정규직 정규직,서울 서대문구,"- Python or R 활용가능 -Linux terminal 능숙 -생물학... 생명정보학, 생물정보학-외국어: 영어 회화가능,독해가능,작문가능- Python or R 활용가능- Linux terminal 능숙- 생물학 기초 수강..."
